ID,Average of retweet_count,Average of favorite_count,bot_type,#of_friends,#of_followers,status_num,default_profile,geo_enabled,default_profile_image
7732472,0.86,0.164,spam bot,42,2743,1246,0,1,0
14938781,0.032,0.024,spam bot,1567,925,368,0,1,0
15947185,17.316,3.156,spam bot,135201,341492,126668,0,1,0
17640121,1927.801587,0.119047619,fake_follower,229,31,128,0,1,0
21479515,0,0,spam bot,282,341,213,0,1,0
21479634,0,0,spam bot,283,299,208,0,1,0
21479977,0.00462963,0.00462963,spam bot,278,288,217,0,1,0
21480027,0,0.004694836,spam bot,279,278,214,0,1,0
21484370,0,0.004608295,spam bot,280,289,218,0,1,0
21629735,0,0,spam bot,279,301,205,0,1,0
21696097,0,0,spam bot,281,280,218,0,1,0
21723832,0,0,spam bot,281,312,214,0,1,0
21967510,0,0,spam bot,320,354,213,0,1,0
22030724,0,0.012048193,spam bot,213,230,303,0,1,0
22256645,457.804,1025.012,spam bot,175539,4294576,34553,0,1,0
22293089,0.004,0.008,spam bot,0,404,701,0,1,0
22578323,0,0,spam bot,170,221,103,0,1,0
22597402,0.8,1.8,spam bot,6353,4153,10,1,0,1
22663627,0.004901961,0.004901961,spam bot,276,287,205,0,1,0
22728442,0.009345794,0.004672897,spam bot,163,211,215,0,1,0
22930291,0,0.004,spam bot,217,513,720,0,1,0
23140706,0,0.005882353,spam bot,289,687,224,0,1,0
23162965,0,0.010638298,spam bot,276,280,94,0,1,0
23222296,0.100840336,0,spam bot,173,216,119,0,1,0
23225490,0.102564103,0,spam bot,177,235,41,0,1,0
23257723,0,0,spam bot,171,203,12,0,1,0
23258239,0.068965517,0.009852217,spam bot,172,223,205,0,1,0
23264565,0.142857143,0.142857143,spam bot,164,236,15,0,1,0
23504921,0,0,spam bot,276,329,671,0,1,0
24213618,0.004,0.052,spam bot,217,365,605,0,1,0
24222336,0,0,spam bot,0,299,667,0,1,0
24224607,0,0.02,spam bot,242,688,729,0,1,0
24315455,0,0.008,spam bot,0,494,624,0,1,0
24317752,0,0.004,spam bot,221,329,629,0,1,0
24321441,0,0,spam bot,233,251,225,0,1,0
24385142,0,0.028,spam bot,215,366,655,0,1,0
24387166,0,0,spam bot,215,240,221,0,1,0
24601131,0.043478261,0,spam bot,175,213,23,0,1,0
24602801,0,0.004,spam bot,218,291,468,0,1,0
25006080,0.004,0.004,spam bot,275,370,618,0,1,0
25060110,0,0,spam bot,196,226,226,0,1,0
25449898,0.004,0,spam bot,218,240,335,0,1,0
25775049,0,0,spam bot,296,326,198,0,1,0
27159435,3272.086957,0,spam bot,1583,392,23,1,0,0
28587018,0,0.25,spam bot,64,71,12,0,0,0
30428221,93.3815261,0.128514056,fake_follower,298,101,805,1,1,0
30969945,0,0.011494253,spam bot,212,274,87,0,1,0
31228692,48.6875,0.333333333,spam bot,5134,4613,96,1,0,0
33633835,0.004,0.008,spam bot,214,336,763,0,1,0
33869550,5082.666667,0.111111111,fake_follower,96,21,9,1,0,0
33877660,0,0.008658009,spam bot,213,263,235,0,1,0
34589722,0,2,fake_follower,0,15,1,1,0,0
35008954,0,0.012,fake_follower,0,9,358,1,0,0
35959749,423.996,12.56,fake_follower,2162,6422,17488,0,0,0
36477176,0.15,0.0375,spam bot,592,113,80,0,0,0
37302537,0,0,spam bot,282,285,201,0,1,0
37369373,0,0,spam bot,221,265,444,0,1,0
37384589,6347.377358,0,fake_follower,38,39,516,0,0,0
37935992,0.004,0.012,spam bot,0,1005,1759,0,1,0
37983502,0.012,0.004,spam bot,0,462,812,0,1,0
38039576,0.008,0,spam bot,0,456,811,0,1,0
38054032,0,0.004,spam bot,476,508,695,0,1,0
38054164,0.008,0,spam bot,487,430,281,0,1,0
38081689,0,0.008,spam bot,474,388,595,0,1,0
38106309,0.004,0.048,spam bot,471,476,807,0,0,0
38106485,0.064,0.004,spam bot,0,581,592,0,1,0
38106903,0.004,0.008,spam bot,0,451,671,0,1,0
38107317,0,0.056,spam bot,475,420,680,0,1,0
38164107,0,0.004,spam bot,0,533,929,0,1,0
38191818,0.004,0,spam bot,0,448,644,0,1,0
38211602,0,0.004,spam bot,0,389,640,0,1,0
38212146,0.004,0.004,spam bot,0,408,601,0,1,0
38962259,0,0,spam bot,1418,616,452,0,0,0
39156016,0,0,spam bot,0,513,964,0,1,0
40010436,0,0.384615385,fake_follower,159,19,13,0,0,0
41620770,0,0,spam bot,0,506,678,0,1,0
41638585,0,0.004,spam bot,0,421,469,0,1,0
41638698,0.012,0.008,spam bot,0,629,1128,0,0,0
41655099,0,0.016,spam bot,0,445,753,0,0,0
41670875,0.028,0.012,spam bot,0,397,547,0,1,0
41678763,0.166666667,0.833333333,spam bot,0,1594,6,1,0,0
41686590,0,0.012,spam bot,0,421,685,0,1,0
41982078,0.008,0.012,spam bot,500,558,722,0,1,0
42157433,0.004,0.02,spam bot,432,464,307,0,1,0
42157628,0.008,0.008,spam bot,432,788,958,0,1,0
43258850,0.012,0.032,spam bot,478,738,2659,0,1,0
43259836,0.004291845,0.004291845,spam bot,471,408,237,0,1,0
43747581,0.034246575,0.04109589,spam bot,1056,423,146,0,0,1
44191269,0,0,spam bot,1469,565,16,1,0,0
45804432,0,0,spam bot,611,97,1,1,0,0
47678112,0.5,0,spam bot,3938,2760,14,1,0,0
47722321,0.333333333,0.222222222,fake_follower,0,9,9,1,0,0
48638750,0.172,1.092,fake_follower,1127,152,507,0,0,0
48712444,0.184738956,0,spam bot,2286,2904,3843,0,0,0
49270232,0,0,spam bot,1427,123,3,1,0,0
49588893,0,0.5,spam bot,1475,118,2,1,0,0
49669394,0,0,spam bot,336,35,2,1,0,0
49772550,0,0,spam bot,971,76,2,1,0,0
49853823,0,0.012,spam bot,249,203,616,0,1,0
49949709,0,0,spam bot,578,63,2,1,0,0
50346336,9.654618474,0.012048193,spam bot,0,678,517,0,0,0
50552240,0.004,0.02,spam bot,432,457,663,0,1,0
51905951,0.5,1,spam bot,609,67,2,1,0,0
51949191,0.008,0.012,spam bot,432,560,719,0,1,0
52039977,0,0,spam bot,569,56,2,1,0,0
52615792,700.0229885,0.034482759,scam bot,0,22,94,1,0,0
53714790,0,1,spam bot,236,36,1,1,0,0
53780726,0,0,spam bot,241,34,1,1,0,0
53784356,0,0,spam bot,237,30,1,1,0,0
53948371,0,1,spam bot,656,68,1,1,0,0
54234822,4.666666667,0.004016064,spam bot,1560,538,742,0,0,0
54244742,20.25362319,0.028985507,fake_follower,0,130,139,1,0,0
54353595,0.016,0.012,spam bot,1998,1468,4666,1,0,0
54891461,0,0.067567568,spam bot,1506,339,74,0,0,0
55221873,0,0.0125,spam bot,1510,291,80,0,0,0
55243788,0.0125,0.1,spam bot,1670,430,80,0,0,0
55256821,0,0.129411765,spam bot,1531,462,85,0,0,0
55275603,0.01980198,0.089108911,spam bot,1587,378,101,0,0,0
55396146,0,0.146666667,spam bot,1605,480,75,0,0,0
55412037,0.015384615,0.169230769,spam bot,1687,405,65,0,0,0
58384179,0.125,0.5,fake_follower,0,11,8,0,0,0
58624454,4.442622951,0.016393443,spam bot,1559,260,62,0,0,0
59434448,0,0,spam bot,289,43,2,1,0,0
59904140,8.327868852,0,spam bot,70,114,122,0,0,0
60257479,3785.189189,0.054054054,fake_follower,545,11,48,1,0,0
60375971,0,0.363636364,fake_follower,0,4,11,1,1,0
60430191,1,0,spam bot,279,39,2,1,0,0
62204600,205.8220339,0.016949153,fake_follower,53,27,119,0,0,0
62730539,0.008,0.012,spam bot,432,413,306,0,1,0
63065682,0,0,spam bot,685,98,3,1,0,0
63312941,0,0.020833333,spam bot,1703,613,96,0,0,0
63417814,57.93518519,0.046296296,fake_follower,1334,113,109,1,0,0
63579810,0.25,0.5,spam bot,122,13,4,1,0,0
63737626,0,0,spam bot,432,449,358,0,1,0
64148519,0.5,0.5,spam bot,592,85,2,1,0,1
64169835,0,0.032,spam bot,432,459,529,0,1,0
64297402,2.172,0,spam bot,1396,467,418,0,1,0
64636395,0,0,spam bot,1229,81,2,1,0,1
64725115,0.008064516,0.008064516,spam bot,733,258,124,1,0,0
64987143,0,0,spam bot,1273,78,1,1,0,0
65257967,0,0.333333333,spam bot,1240,95,3,1,0,0
65332295,0,0,spam bot,1252,80,2,1,0,0
66618364,0.058823529,0.235294118,fake_follower,0,20,17,0,0,0
66807259,0,0,spam bot,209,256,601,0,1,0
