,ID,Average of retweet_count,Average of favorite_count,bot_type,#of_friends,#of_followers,status_num,default_profile,geo_enabled,default_profile_image,avg_tweet_per_day
0,7732472,0.86,0.164,6,42,2743,1246,0,1,0,1.24137931
1,14938781,0.032,0.024,6,1567,925,368,0,1,0,1.984
2,15947185,17.316,3.156,7,135201,341492,126668,0,1,0,1.366666667
3,17640121,1927.802,0.119,1,229,31,128,0,1,0,1.145299145
4,21479515,0,0,8,282,341,213,0,1,0,1.948356808
5,21479634,0,0,8,283,299,208,0,1,0,2.645933014
6,21479977,0.005,0.005,8,278,288,217,0,1,0,1.347222222
7,21480027,0,0.005,8,279,278,214,0,1,0,2.44600939
8,21484370,0,0.005,8,280,289,218,0,1,0,2.917050691
9,21629735,0,0,8,279,301,205,0,1,0,1.660098522
10,21696097,0,0,8,281,280,218,0,1,0,1.603686636
11,21723832,0,0,8,281,312,214,0,1,0,2.953051643
12,21967510,0,0,8,320,354,213,0,1,0,1.657276995
13,22030724,0,0.012,8,213,230,303,0,1,0,1.40562249
14,22256645,457.804,1025.012,7,175539,4294576,34553,0,1,0,1.069672131
15,22293089,0.004,0.008,8,0,404,701,0,1,0,1.264
16,22578323,0,0,8,170,221,103,0,1,0,2.254901961
17,22597402,0.8,1.8,6,6353,4153,10,1,0,1,1
18,22663627,0.005,0.005,8,276,287,205,0,1,0,1.181372549
19,22728442,0.009,0.005,8,163,211,215,0,1,0,1.658878505
20,22930291,0,0.004,8,217,513,720,0,1,0,1.348
21,23140706,0,0.006,8,289,687,224,0,1,0,2.835294118
22,23162965,0,0.011,8,276,280,94,0,1,0,1.085106383
23,23222296,0.101,0,8,173,216,119,0,1,0,1.18487395
24,23225490,0.103,0,8,177,235,41,0,1,0,1
25,23257723,0,0,8,171,203,12,0,1,0,3.166666667
26,23258239,0.069,0.01,8,172,223,205,0,1,0,1.876847291
27,23264565,0.143,0.143,8,164,236,15,0,1,0,1.142857143
28,23504921,0,0,8,276,329,671,0,1,0,1.28
29,24213618,0.004,0.052,8,217,365,605,0,1,0,1.18
30,24222336,0,0,8,0,299,667,0,1,0,1.24
31,24224607,0,0.02,8,242,688,729,0,1,0,1.36
32,24315455,0,0.008,8,0,494,624,0,1,0,1.172
33,24317752,0,0.004,8,221,329,629,0,1,0,1.196
34,24321441,0,0,8,233,251,225,0,1,0,1.115555556
35,24385142,0,0.028,8,215,366,655,0,1,0,1.412
36,24387166,0,0,8,215,240,221,0,1,0,1.531818182
37,24601131,0.043,0,8,175,213,23,0,1,0,1.391304348
38,24602801,0,0.004,8,218,291,468,0,1,0,1.26
39,25006080,0.004,0.004,8,275,370,618,0,1,0,1.38
40,25060110,0,0,8,196,226,226,0,1,0,3.120930233
41,25449898,0.004,0,8,218,240,335,0,1,0,1.176
42,25775049,0,0,8,296,326,198,0,1,0,1.681818182
43,27159435,3272.087,0,6,1583,392,23,1,0,0,1.47826087
44,28587018,0,0.25,6,64,71,12,0,0,0,1
45,30428221,93.382,0.129,1,298,101,805,1,1,0,1.191780822
46,30969945,0,0.011,8,212,274,87,0,1,0,2.482758621
47,31228692,48.688,0.333,6,5134,4613,96,1,0,0,1.209302326
48,33633835,0.004,0.008,8,214,336,763,0,1,0,1.08
49,33869550,5082.667,0.111,1,96,21,9,1,0,0,1
50,33877660,0,0.009,8,213,263,235,0,1,0,1.29004329
51,34589722,0,2,1,0,15,1,1,0,0,1
52,35008954,0,0.012,1,0,9,358,1,0,0,8.511904762
53,35959749,423.996,12.56,1,2162,6422,17488,0,0,0,2.552447552
54,36477176,0.15,0.037,6,592,113,80,0,0,0,1.125
55,37302537,0,0,8,282,285,201,0,1,0,2.990049751
56,37369373,0,0,8,221,265,444,0,1,0,1.28
57,37384589,6347.377,0,1,38,39,516,0,0,0,4.234693878
58,37935992,0.004,0.012,8,0,1005,1759,0,1,0,3.123893805
59,37983502,0.012,0.004,8,0,462,812,0,1,0,1.288
60,38039576,0.008,0,8,0,456,811,0,1,0,1.456
61,38054032,0,0.004,8,476,508,695,0,1,0,1.412
62,38054164,0.008,0,8,487,430,281,0,1,0,1.196
63,38081689,0,0.008,8,474,388,595,0,1,0,1.4
64,38106309,0.004,0.048,8,471,476,807,0,0,0,1.696
65,38106485,0.064,0.004,8,0,581,592,0,1,0,1.228
66,38106903,0.004,0.008,8,0,451,671,0,1,0,1.236
67,38107317,0,0.056,8,475,420,680,0,1,0,1.28
68,38164107,0,0.004,8,0,533,929,0,1,0,1.144
69,38191818,0.004,0,8,0,448,644,0,1,0,1.204
70,38211602,0,0.004,8,0,389,640,0,1,0,1.56
71,38212146,0.004,0.004,8,0,408,601,0,1,0,1.26
72,38962259,0,0,6,1418,616,452,0,0,0,1.12
73,39156016,0,0,8,0,513,964,0,1,0,1.288
74,40010436,0,0.385,1,159,19,13,0,0,0,1
75,41620770,0,0,8,0,506,678,0,1,0,1.212
76,41638585,0,0.004,8,0,421,469,0,1,0,1.14
77,41638698,0.012,0.008,8,0,629,1128,0,0,0,1.428
78,41655099,0,0.016,8,0,445,753,0,0,0,1.384
79,41670875,0.028,0.012,8,0,397,547,0,1,0,1.156
80,41678763,0.167,0.833,6,0,1594,6,1,0,0,2
